CRN	one	r0	r1	r2	r3	r4	score
605	0.2351786118040801	41.88256785	0.06862592	0.07277499	77.10508471	0.15324136	0.45976885564557096
321	0.12619540669463225	0.04595294	0.02129676	9.29963571	0.01944411	18.35590268	0.45975335936959777
984	0.30899099312065575	94.7692603	4.92447796	0.05768651	0.02437622	16.76952398	0.4597450837823042
461	0.28502592961627726	30.41942599	0.02930868	55.69486038	0.01035921	0.48277126	0.45972882612402316
1254	0.06703754181393719	43.09346652	0.01226419	1.67535507	0.02081619	7.86268601	0.4597053033420552
57	0.27314795812492826	0.02065591	12.46852738	0.01315256	23.25417049	0.05470929	0.45970218654368894
462	0.34991386324916934	14.15550524	0.04286769	26.21758469	0.03599967	0.24817732	0.4596957356049483
572	0.1780924772719669	0.03028358	0.0630643	35.82936654	0.0319045	75.65921986	0.45966039816048204
1182	0.07784996702490844	0.01043385	19.77632249	0.01334777	0.11084741	43.96286265	0.45965535074761193
953	0.33726589951812186	0.21921263	20.3794775	0.16019991	0.07610808	42.28035586	0.45960489018024486
741	0.09502874800239265	0.02961626	0.01008074	8.47605633	18.659083	0.01284304	0.45959570454091947
244	0.35132373618439583	0.03775995	14.16183259	0.01856417	33.34101245	0.02759592	0.4595578472852948
799	0.16077250881980965	25.34419302	0.02689879	52.578938	0.74714078	0.03368788	0.4595138018778312
490	0.1352308562725136	0.01796525	10.520368	0.0300101	21.66525659	0.04486315	0.45950983771253257
375	0.34097475194095545	84.59766639	1.92015999	0.17889934	13.23838304	0.43312383	0.4594947409188162
42	0.06696814681191014	0.05047876	52.8888297	0.02238301	0.14580255	97.48142421	0.4594663709700499
1373	0.31776867507715595	60.84683365	2.5001002	0.09288058	0.0173029	13.24622455	0.4594497453523987
989	0.284948907085569	0.06984157	33.18796617	0.06572287	0.03116787	60.73928301	0.45944914793238223
562	0.09691576361276183	0.01026148	0.02878896	16.65935687	33.40983186	0.24456645	0.45942536402261197
