crn	r0	r1	r2
1794	1213	0233	0111	0100
1795	1223	2203	0111	0100
1796	1222	2203	0111	0100
1797	1233	2203	0111	0100
1798	1213	2203	0111	0100
1799	1211	2203	0111	0100
18	0111	0102	0300	0100
180	1333	2302	0111	0100
1800	2313	2213	0111	0100
1801	2313	2203	0111	0100
1802	2311	2203	0111	0100
1803	2333	2203	0111	0100
1804	2322	2203	0111	0100
1805	2212	0233	0111	0100
1806	2213	0233	0111	0100
1807	2212	2203	0111	0100
1808	2213	2203	0111	0100
1809	2211	2203	0111	0100
181	0333	0111	0302	0100
1810	2223	2203	0111	0100
1811	2233	2203	0111	0100
1812	1213	0113	0111	0100
1813	2313	1201	0111	0100
1814	2311	1201	0111	0100
1815	2313	1213	0111	0100
1816	2313	1211	0111	0100
1817	2322	1201	0111	0100
1818	2333	1201	0111	0100
1819	2233	1201	0111	0100
182	0333	0111	0301	0100
1820	2212	1201	0111	0100
1821	2213	1201	0111	0100
1822	2211	1201	0111	0100
1823	2213	1211	0111	0100
1824	2213	1200	0111	0100
1825	2211	1200	0111	0100
1826	2223	1201	0111	0100
1827	2212	1200	0111	0100
1828	2223	1200	0111	0100
1829	2233	1200	0111	0100
183	2333	0111	0203	0100
1830	2333	1200	0111	0100
1831	2322	1200	0111	0100
1832	2313	1200	0111	0100
1833	2311	1200	0111	0100
1834	2333	1203	0111	0100
1835	2233	1203	0111	0100
1836	2212	1203	0111	0100
1837	2212	1233	0111	0100
1838	2223	1203	0111	0100
